Time	Dell	IBM	Microsoft	Risk-Free Return	Date
2000.916667	-0.094155841	-0.090909094	-0.24400872	0.004909	3060892800
2001	0.498207897	0.31764707	0.407780975	0.005243	3063744000
2001.083333	-0.162679419	-0.106874987	-0.033776868	0.003653	3066163200
2001.166667	0.17428571	-0.037237249	-0.073093221	0.00432	3068755200
2001.25	0.021508507	0.197130367	0.23885715	0.003864	3071433600
2001.333333	-0.07164631	-0.027792221	0.021107016	0.003183	3074112000
2001.416667	0.073481076	0.010733425	0.055218268	0.002778	3076617600
2001.5	0.029827943	-0.068938062	-0.093287639	0.002999	3079382400
2001.583333	-0.206089899	-0.048664596	-0.138087362	0.002996	3082060800
2001.666667	-0.133302093	-0.082341127	-0.103067502	0.00273	3084480000
2001.75	0.29411757	0.178259909	0.13640812	0.002154	3087331200
2001.833333	0.16472064	0.070879951	0.104213201	0.001749	3089923200
2001.916667	-0.026852846	0.046457332	0.031770766	0.001484	3092601600
2002	0.011405425	-0.108052246	-0.038339637	0.00139	3095280000
2002.083333	-0.101855196	-0.089257546	-0.084288165	0.001285	3097699200
2002.166667	0.057513166	0.059926592	0.033767588	0.001341	3100118400
2002.25	0.008808868	-0.194615364	-0.133477077	0.001546	3102969600
2002.333333	0.019362195	-0.037726898	-0.025832348	0.001442	3105648000
2002.416667	-0.026443239	-0.10503415	0.074445121	0.001312	3108067200
2002.5	-0.046289179	-0.0222222	-0.122851938	0.001507	3110918400
2002.583333	0.06778983	0.072869256	0.022926267	0.001402	3113510400
2002.666667	-0.11682947	-0.226452589	-0.108801953	0.001414	3116188800
2002.75	0.216928974	0.353798658	0.222450823	0.001334	3118867200
2002.833333	-0.000349536	0.102989554	0.078735724	0.001166	3121372800
2002.916667	-0.065034986	-0.108375497	-0.10367544	0.001079	3124137600
2003	-0.107703783	0.009032219	-0.08201164	0.000934	3126816000
2003.083333	0.129924491	-0.001278772	0.002107089	0.000871	3129235200
2003.166667	0.01298221	0.006157837	0.021518916	0.00102	3131913600
2003.25	0.061149765	0.082493961	0.055762101	0.000939	3134505600
2003.333333	0.082470715	0.038869251	-0.037167404	0.000903	3137097600
2003.416667	0.014982445	-0.06292595	0.041852854	0.000984	3139776000
2003.5	0.05778895	-0.015151516	0.030031219	0.000674	3142454400
2003.583333	-0.031472724	0.011323103	0.004165112	0.000689	3144960000
2003.666667	0.024524808	0.077063769	0.048265412	0.000865	3147724800
2003.75	0.07719934	0.013019376	-0.053956829	0.0007	3150403200
2003.833333	-0.03972223	0.013634304	-0.016449897	0.000725	3152822400
2003.916667	-0.017066825	0.023635956	0.064566389	0.000831	3155673600
2004	-0.015891729	0.070673317	0.010230134	0.000696	3158265600
2004.083333	-0.023624316	-0.025899459	-0.040506292	0.000623	3160684800
2004.166667	0.029708954	-0.048290193	-0.060309097	0.000844	3163536000
2004.25	0.03450327	-0.039960783	0.048134729	0.000795	3166128000
2004.333333	0.013226076	0.006805015	0.003827034	0.000603	3168547200
2004.416667	0.016458513	-0.004966642	0.088829584	0.000817	3171398400
2004.5	-0.009771035	-0.012251864	-0.00245097	0.000919	3173990400
2004.583333	-0.017761517	-0.025266996	-0.038961057	0.001116	3176755200
2004.666667	0.021813959	0.012398103	0.012820527	0.001185	3179347200
2004.75	-0.015168458	0.046769328	0.011573226	0.001129	3181852800
2004.833333	0.155733004	0.052033402	0.068644986	0.001541	3184617600
2004.916667	0.039980229	0.046052676	-0.003356962	0.001672	3187296000
2005	-0.009017586	-0.052343309	-0.016467014	0.001661	3189974400
2005.083333	-0.03999038	-0.007064829	-0.039573852	0.001641	3192393600
2005.166667	-0.041656323	-0.012961812	-0.039348163	0.002123	3195072000
2005.25	-0.093440823	-0.164149716	0.046752136	0.002072	3197577600
2005.333333	0.146425441	-0.008248157	0.022924902	0.002395	3200342400
2005.416667	-0.011770629	-0.01786904	-0.037209269	0.002263	3202934400
2005.5	0.025595594	0.124797881	0.030998409	0.002383	3205440000
2005.583333	-0.120336115	-0.031631876	0.07223735	0.00292	3208291200
2005.666667	-0.039325781	-0.004961567	-0.060262952	0.002848	3210883200
2005.75	-0.0678363	0.020693045	-0.001165907	0.002728	3213561600
2005.833333	-0.054234635	0.088177875	0.080155619	0.003045	3216153600
2005.916667	-0.00666639	-0.075365633	-0.055274591	0.00316	3218745600
