Company	Net Sales ($MM)	Employees (000)	Sales per Employee	Liabilities ($MM)	Assets ($MM)	Receivables ($MM)	Inventories ($MM)	Cash ($MM)	Cash+Short Term Invest	Gross Property	Net Property	Long-term Debt	Operating Income	Depreciation	Interest Exp	Income Taxes	Net Income
INTERLAND INC	106.638	0.761	140.1287779	54.384	207.042	5.772	0	35.255	51.917	102.567	35.935	1.654	-10.479	56.708	0.327	0.629	-173.88
INTERMOST CORP	0.446	0.049	9.102040816	0.824	1.272	0.232	0.045	0.079	0.079	0.557	0.164	0	-0.949	0.061	0	0	-1.079
INTERNAP NETWORK SVCS CORP	138.58	0.354	391.4689266	64.301	142.451	15.587	0.492	18.885	19.01	187.149	59.337	17.812	8.031	37.244	3.28	0	-33.038
INTERNET AMERICA INC	17.523	0.119	147.2521008	4.351	7.275	0.348	0	1.968	1.968	6.662	0.412	0	3.265	0.669	0.636	0	2.302
INTERNET BUSINESS'S INTL INC	0.659	0.004	164.75	2.279	2.648	0	0	0.001	0.001	3.184	0.941	0.976	-2.015	1.92	-99	0	-4.718
INTERNET CAP GROUP INC	70.02	0.418	167.5119617	250.457	231.163	25.715	0	77.581	79.409	22.5	2.368	0.03	-27.092	13.245	16.564	0	-135.884
INTERNET COMMERCE CP  -CL A	12.083	0.09	134.2555556	2.758	8.598	1.733	0	2.284	2.376	4.391	0.557	0.046	-2.718	1.545	0.039	0	-6.004
INTERNET GOLD-GLDN LINES LTD	41.024	-99	-99	21.908	48.871	11.039	0	18.701	18.701	-99	6.659	6.255	-99	-99	0.739	-0.442	3.266
INTERNET INITIATIVE JP  -ADR	372.235	-99	-99	350.574	410.222	86.333	4.208	117.914	117.914	-99	82.568	163.374	24.558	38.475	-99	-20.474	-1.009
ITIS HOLDINGS INC	0.824	-99	-99	9.563	2.16	0.554	0.035	0.111	0.181	0.446	0.147	4.175	-1.899	0.317	0.954	0	-5.812
IVILLAGE INC	55.221	0.2	276.105	15.581	72.528	7.566	0	15.823	15.823	35.406	7.269	0	-6.898	8.595	-99	0	-27.129
JUNIPER GROUP INC	1.182	0.029	40.75862069	1.887	3.691	0.087	0	0.002	0.002	1.074	0.568	0.18	-2.382	0.175	0.05	0	-2.988
JUPITERMEDIA CORP	46.991	0.279	168.4265233	17.679	56.038	11.293	0	9.567	9.567	10.162	1.488	0	2.737	1.422	0.026	0	1.382
KEYNOTE SYSTEMS INC	38.262	0.158	242.164557	12.088	202.368	4.349	0	23.242	160.214	56.263	33.928	0	-2.196	7.998	-99	0	-4.725
KIRSHNER ENTMT & TECH INC	0.057	0.001	57	0.433	0.082	0.027	0	0.02	0.02	0.081	0.029	0	-1.028	0.056	0.024	0	-1.358
KNOT INC	36.697	0.243	151.0164609	11.407	38.707	2.883	1.195	22.511	22.511	6.241	2.006	0.196	1.868	0.858	-99	0.05	1.062
